10.38	4.4	13.4	0.222	2.487	5.98E+01	6.43E+01	2.55E-02	7.33E-01	6.35E+01	5.98E+01	0	0	0	6.44E+01	0.00E+00
10.38	4.41	13.4	0.222	2.492	5.97E+01	6.41E+01	2.49E-02	7.28E-01	6.34E+01	5.97E+01	0	0	0	6.42E+01	0.00E+00
10.38	4.42	13.4	0.223	2.498	5.96E+01	6.40E+01	2.44E-02	7.19E-01	6.32E+01	5.96E+01	0	0	0	6.41E+01	0.00E+00
10.38	4.43	13.4	0.224	2.504	5.95E+01	6.38E+01	2.38E-02	7.12E-01	6.31E+01	5.95E+01	0	0	0	6.39E+01	0.00E+00
10.38	4.44	13.4	0.225	2.509	5.94E+01	6.36E+01	2.33E-02	7.04E-01	6.29E+01	5.94E+01	0	0	0	6.38E+01	0.00E+00
10.38	4.45	13.4	0.226	2.515	5.93E+01	6.35E+01	2.28E-02	6.96E-01	6.28E+01	5.93E+01	0	0	0	6.36E+01	0.00E+00
10.38	4.46	13.4	0.227	2.521	5.92E+01	6.33E+01	2.22E-02	6.88E-01	6.26E+01	5.92E+01	0	0	0	6.35E+01	0.00E+00
10.38	4.47	13.4	0.228	2.526	5.91E+01	6.32E+01	2.17E-02	6.81E-01	6.25E+01	5.91E+01	0	0	0	6.33E+01	0.00E+00
10.38	4.48	13.4	0.229	2.532	5.90E+01	6.30E+01	2.12E-02	6.73E-01	6.23E+01	5.90E+01	0	0	0	6.32E+01	0.00E+00
10.38	4.49	13.4	0.23	2.538	5.89E+01	6.28E+01	2.08E-02	6.67E-01	6.22E+01	5.89E+01	0	0	0	6.30E+01	0.00E+00
10.38	4.5	13.4	0.23	2.543	5.88E+01	6.27E+01	2.03E-02	6.60E-01	6.20E+01	5.88E+01	0	0	0	6.29E+01	0.00E+00
10.38	4.51	13.4	0.231	2.549	5.87E+01	6.25E+01	1.98E-02	6.53E-01	6.19E+01	5.87E+01	0	0	0	6.27E+01	0.00E+00
10.38	4.52	13.4	0.232	2.555	5.86E+01	6.24E+01	1.94E-02	6.44E-01	6.17E+01	5.86E+01	0	0	0	6.26E+01	0.00E+00
10.38	4.53	13.4	0.233	2.56	5.85E+01	6.22E+01	1.89E-02	6.37E-01	6.16E+01	5.85E+01	0	0	0	6.24E+01	0.00E+00
10.38	4.54	13.4	0.234	2.566	5.84E+01	6.21E+01	1.85E-02	6.31E-01	6.14E+01	5.84E+01	0	0	0	6.23E+01	0.00E+00
10.38	4.55	13.4	0.235	2.572	5.83E+01	6.19E+01	1.81E-02	6.24E-01	6.13E+01	5.83E+01	0	0	0	6.21E+01	0.00E+00
10.38	4.56	13.4	0.236	2.577	5.82E+01	6.17E+01	1.77E-02	6.17E-01	6.11E+01	5.82E+01	0	0	0	6.20E+01	0.00E+00
10.38	4.57	13.4	0.237	2.583	5.81E+01	6.16E+01	1.73E-02	6.10E-01	6.10E+01	5.81E+01	0	0	0	6.18E+01	0.00E+00
10.38	4.58	13.4	0.238	2.588	5.80E+01	6.14E+01	1.69E-02	6.04E-01	6.08E+01	5.80E+01	0	0	0	6.17E+01	0.00E+00
10.38	4.59	13.4	0.239	2.594	5.79E+01	6.13E+01	1.65E-02	5.97E-01	6.07E+01	5.79E+01	0	0	0	6.15E+01	0.00E+00
10.38	4.6	13.4	0.24	2.6	5.78E+01	6.11E+01	1.61E-02	5.91E-01	6.05E+01	5.78E+01	0	0	0	6.14E+01	0.00E+00
10.38	4.61	13.4	0.241	2.605	5.77E+01	6.09E+01	1.57E-02	5.85E-01	6.03E+01	5.77E+01	0	0	0	6.12E+01	0.00E+00
10.38	4.62	13.4	0.242	2.611	5.76E+01	6.08E+01	1.53E-02	5.78E-01	6.02E+01	5.76E+01	0	0	0	6.11E+01	0.00E+00
